ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalThm,AverageTherms
94040,10,2013,Gas- Commercial,Y,0,0,
94040,10,2013,Gas- Residential,N,"9,686","321,973",33
94041,10,2013,Gas- Commercial,Y,0,0,
94041,10,2013,Gas- Residential,N,"5,087","142,071",28
94043,10,2013,Gas- Commercial,Y,"1,638","701,337",428
94043,10,2013,Gas- Residential,N,"8,308","286,090",34
94044,10,2013,Gas- Commercial,Y,279,"64,666",232
94044,10,2013,Gas- Residential,N,"12,585","467,786",37
94061,10,2013,Gas- Commercial,Y,399,"93,573",235
94061,10,2013,Gas- Residential,N,"12,247","393,819",32
94062,10,2013,Gas- Commercial,Y,0,0,
94062,10,2013,Gas- Residential,N,"8,547","492,665",58
94063,10,2013,Gas- Commercial,N,"1,062","344,823",325
94063,10,2013,Gas- Residential,N,"6,607","209,152",32
94065,10,2013,Gas- Commercial,Y,0,0,
94065,10,2013,Gas- Residential,N,"4,178","108,538",26
94066,10,2013,Gas- Commercial,Y,0,0,
94066,10,2013,Gas- Residential,N,"11,107","395,374",36
94070,10,2013,Gas- Commercial,N,992,"162,906",164
94070,10,2013,Gas- Residential,N,"11,083","395,623",36
94080,10,2013,Gas- Commercial,Y,"1,421","830,503",584
94080,10,2013,Gas- Residential,N,"17,060","575,991",34
94085,10,2013,Gas- Commercial,N,400,"227,598",569
94085,10,2013,Gas- Residential,N,"5,179","168,207",32
94086,10,2013,Gas- Commercial,N,351,"127,909",364
94086,10,2013,Gas- Residential,N,"11,916","388,321",33
94087,10,2013,Gas- Commercial,Y,0,0,
94087,10,2013,Gas- Residential,N,"16,806","531,735",32
94089,10,2013,Gas- Commercial,Y,0,0,
94089,10,2013,Gas- Residential,N,"3,273","111,728",34
94102,10,2013,Gas- Commercial,N,404,"249,317",617
94102,10,2013,Gas- Residential,N,"5,340","253,873",48
94103,10,2013,Gas- Commercial,N,"1,028","283,339",276
94103,10,2013,Gas- Residential,N,"5,701","196,667",34
94104,10,2013,Gas- Commercial,N,56,"53,219",950
94104,10,2013,Gas- Residential,Y,0,0,
94105,10,2013,Gas- Commercial,N,151,"142,122",941
94105,10,2013,Gas- Residential,N,187,"23,566",126
94107,10,2013,Gas- Commercial,Y,743,"289,078",389
94107,10,2013,Gas- Residential,Y,"5,219","188,460",36
94108,10,2013,Gas- Commercial,N,384,"124,536",324
94108,10,2013,Gas- Residential,Y,"3,417","148,442",43
94109,10,2013,Gas- Commercial,N,595,"254,903",428
94109,10,2013,Gas- Residential,N,"19,468","821,789",42
94110,10,2013,Gas- Commercial,N,895,"202,380",226
94110,10,2013,Gas- Residential,N,"21,213","599,865",28
94111,10,2013,Gas- Commercial,N,213,"189,738",891
94111,10,2013,Gas- Residential,Y,0,0,
94112,10,2013,Gas- Commercial,N,375,"101,704",271
94112,10,2013,Gas- Residential,N,"17,341","612,460",35
94114,10,2013,Gas- Commercial,N,353,"66,779",189
94114,10,2013,Gas- Residential,N,"13,819","437,715",32
94115,10,2013,Gas- Commercial,N,437,"137,353",314
94115,10,2013,Gas- Residential,N,"10,578","528,167",50
94116,10,2013,Gas- Commercial,Y,371,"113,218",305
94116,10,2013,Gas- Residential,N,"11,204","391,204",35
94117,10,2013,Gas- Commercial,Y,0,0,
94117,10,2013,Gas- Residential,N,"15,479","540,314",35
94118,10,2013,Gas- Commercial,Y,891,"258,718",290
94118,10,2013,Gas- Residential,N,"14,325","561,328",39
94121,10,2013,Gas- Commercial,N,271,"73,731",272
94121,10,2013,Gas- Residential,N,"14,353","507,507",35
94122,10,2013,Gas- Commercial,N,442,"107,377",243
94122,10,2013,Gas- Residential,N,"17,417","585,683",34
94123,10,2013,Gas- Commercial,N,424,"93,632",221
94123,10,2013,Gas- Residential,N,"11,827","469,497",40
94124,10,2013,Gas- Commercial,N,570,"101,075",177
94124,10,2013,Gas- Residential,N,"7,308","260,535",36
94127,10,2013,Gas- Commercial,Y,326,"70,765",217
94127,10,2013,Gas- Residential,N,"6,008","273,525",46
94128,10,2013,Gas- Commercial,Y,0,0,
94129,10,2013,Gas- Commercial,Y,0,0,
94129,10,2013,Gas- Residential,N,643,"59,792",93
94131,10,2013,Gas- Commercial,Y,0,0,
94131,10,2013,Gas- Residential,N,"9,531","352,922",37
