Source: EMFAC2021 (v1.0.1) Emission Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Type: Air District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region: Bay Area AQMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Calendar Year: 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season: Summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle Classification: EMFAC202x Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Units:  miles/day for CVMT and EVMT, trips/day for Trips, g/mile for RUNEX, PMBW and PMTW, g/trip for STREX, HOTSOAK and RUNLOSS, g/vehicle/day for IDLEX and DIURN. PHEV calculated based on total VMT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Calendar Year,Vehicle Category,Model Year,Speed,Fuel,Population,Total VMT,CVMT,EVMT,Trips,NOx_RUNEX,NOx_IDLEX,NOx_STREX,PM2.5_RUNEX,PM2.5_IDLEX,PM2.5_STREX,PM2.5_PMTW,PM2.5_PMBW,PM10_RUNEX,PM10_IDLEX,PM10_STREX,PM10_PMTW,PM10_PMBW,CO2_RUNEX,CO2_IDLEX,CO2_STREX,CH4_RUNEX,CH4_IDLEX,CH4_STREX,N2O_RUNEX,N2O_IDLEX,N2O_STREX,ROG_RUNEX,ROG_IDLEX,ROG_STREX,ROG_HOTSOAK,ROG_RUNLOSS,ROG_DIURN,TOG_RUNEX,TOG_IDLEX,TOG_STREX,TOG_HOTSOAK,TOG_RUNLOSS,TOG_DIURN,NH3_RUNEX,CO_RUNEX,CO_IDLEX,CO_STREX,SOx_RUNEX,SOx_IDLEX,SOx_STREX
Bay Area AQMD,2016,LDA,Aggregate,Aggregate,Electricity,43526.6088,1536037.46,0,1536037.46,222038.4346,0,0,0,0,0,0,0.002000001,0.001524945,0,0,0,0.008000002,0.004356985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay Area AQMD,2016,LDT1,Aggregate,Aggregate,Gasoline,252487.5444,8577802.152,8577802.152,0,1139666.24,0.231710253,0,0.512939825,0.002626556,0,0.004123512,0.002000001,0.00308219,0.002851308,0,0.004473478,0.008000002,0.008806256,385.5391487,0,96.99722703,0.014543884,0,0.139215101,0.015208773,0,0.043602317,0.071852795,0,0.766780457,0.273230848,0.718794204,4.92117538,0.100448164,0,0.839320889,0.273230848,0.718794204,4.92117538,0.03396365,3.357047477,0,7.204447113,0.003815493,0,0.000959934
Bay Area AQMD,2016,LDT1,Aggregate,Aggregate,Diesel,327.5381204,5769.482849,5769.482849,0,1128.350905,1.448828057,0,0,0.197583713,0,0,0.002000001,0.003586799,0.206517571,0,0,0.008000002,0.010247996,440.0996549,0,0,0.011987008,0,0,0.06921141,0,0,0.258073215,0,0,0,0,0,0.293799197,0,0,0,0,0,0.0031,1.550900307,0,0,0.004162562,0,0
Bay Area AQMD,2016,LDT1,Aggregate,Aggregate,Electricity,630.0736077,20350.02396,0,20350.02396,3121.077834,0,0,0,0,0,0,0.002000001,0.001530901,0,0,0,0.008000002,0.004374003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay Area AQMD,2017,LDA,Aggregate,Aggregate,Gasoline,2420387.794,86044639.67,86044639.67,0,11287639.06,0.090550189,0,0.351732653,0.001406177,0,0.002405509,0.002000001,0.002577062,0.001528625,0,0.002612803,0.008000002,0.007363034,331.0447095,0,78.66856497,0.006034895,0,0.094929019,0.007594265,0,0.037198004,0.026648873,0,0.480693677,0.140790253,0.326194737,2.569856164,0.038288437,0,0.526238096,0.140790253,0.326194737,2.569856164,0.029043162,1.677372806,0,4.196526297,0.003274501,0,0.000778144
Bay Area AQMD,2017,LDA,Aggregate,Aggregate,Diesel,14260.69833,456220.1986,456220.1986,0,63431.99466,0.382649748,0,0,0.027133455,0,0,0.002000001,0.002589581,0.02836031,0,0,0.008000002,0.007398802,249.1992822,0,0,0.001995742,0,0,0.039193367,0,0,0.042967142,0,0,0,0,0,0.048915234,0,0,0,0,0,0.0031,0.420120387,0,0,0.002357195,0,0
Bay Area AQMD,2017,LDA,Aggregate,Aggregate,Electricity,55648.58164,1957257.616,0,1957257.616,283055.6512,0,0,0,0,0,0,0.002000001,0.001525581,0,0,0,0.008000002,0.004358803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay Area AQMD,2017,LDT1,Aggregate,Aggregate,Gasoline,253344.7132,8210769.828,8210769.828,0,1141420.604,0.208876939,0,0.489587756,0.002478386,0,0.00390907,0.002000001,0.003093951,0.002691531,0,0.004243092,0.008000002,0.00883986,382.0143083,0,95.30164262,0.013029159,0,0.131419003,0.013949681,0,0.042591263,0.06349787,0,0.71878746,0.257556398,0.679801154,4.753082969,0.089432045,0,0.786829268,0.257556398,0.679801154,4.753082969,0.034092451,3.069569567,0,6.686852462,0.003778663,0,0.000942668
Bay Area AQMD,2017,LDT1,Aggregate,Aggregate,Diesel,333.9859149,5546.758369,5546.758369,0,1137.334324,1.424247356,0,0,0.196092987,0,0,0.002000001,0.003578736,0.204959442,0,0,0.008000002,0.010224961,441.03107,0,0,0.012121267,0,0,0.069364135,0,0,0.260963742,0,0,0,0,0,0.29708987,0,0,0,0,0,0.0031,1.546128147,0,0,0.004171747,0,0
Bay Area AQMD,2017,LDT1,Aggregate,Aggregate,Electricity,543.5477631,16644.77377,0,16644.77377,2637.480831,0,0,0,0,0,0,0.002000001,0.001533959,0,0,0,0.008000002,0.004382741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay Area AQMD,2018,LDA,Aggregate,Aggregate,Gasoline,2390471.711,85048821.66,85048821.66,0,11140052.65,0.078151772,0,0.328469795,0.001406587,0,0.002365337,0.002000001,0.002576621,0.001529402,0,0.002570631,0.008000002,0.007361775,326.7425351,0,77.11269331,0.005208221,0,0.088465376,0.006813063,0,0.036061994,0.022437307,0,0.440270059,0.132448787,0.306820303,2.441074236,0.032436693,0,0.482008008,0.132448787,0.306820303,2.441074236,0.029823893,1.514724676,0,3.868194508,0.003236015,0,0.000763714
Bay Area AQMD,2018,LDA,Aggregate,Aggregate,Diesel,12300.94959,378386.1909,378386.1909,0,53950.63577,0.38954022,0,0,0.027652186,0,0,0.002000001,0.002593844,0.028902495,0,0,0.008000002,0.007410984,248.3976939,0,0,0.002029831,0,0,0.039080747,0,0,0.04370106,0,0,0,0,0,0.049750751,0,0,0,0,0,0.0031,0.42960958,0,0,0.002350422,0,0
Bay Area AQMD,2018,LDA,Aggregate,Aggregate,Electricity,74592.29128,2745760.246,0,2745760.246,379043.8823,0,0,0,0,0,0,0.002000001,0.001525727,0,0,0,0.008000002,0.00435922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay Area AQMD,2018,LDT1,Aggregate,Aggregate,Gasoline,249235.1846,8108228.558,8108228.558,0,1123194.308,0.184055791,0,0.460225752,0.002328074,0,0.003665066,0.002000001,0.003096549,0.002530005,0,0.003981805,0.008000002,0.008847283,377.312962,0,93.24265769,0.011328604,0,0.123115375,0.012598113,0,0.04137317,0.053467231,0,0.664669346,0.238483866,0.639889767,4.523541595,0.076460535,0,0.727653068,0.238483866,0.639889767,4.523541595,0.034322903,2.759838137,0,6.158858698,0.003736858,0,0.000923463
Bay Area AQMD,2018,LDT1,Aggregate,Aggregate,Diesel,312.9834869,5056.275931,5056.275931,0,1050.047708,1.413957481,0,0,0.1956044,0,0,0.002000001,0.003582951,0.204448763,0,0,0.008000002,0.010237002,440.3090778,0,0,0.01208676,0,0,0.069274426,0,0,0.260220827,0,0,0,0,0,0.296244111,0,0,0,0,0,0.0031,1.551659221,0,0,0.004166352,0,0
